2021-11-12 18:10:37.6722|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:10:37.7575|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:10:37.7698|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:15:17.0595|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:15:17.1264|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:15:17.1650|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:18:30.4582|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:18:30.5052|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:18:30.5232|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:24:00.6028|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:24:00.7130|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:24:00.7247|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:31:27.6965|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:31:27.7685|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:31:27.7825|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:35:02.4153|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:35:02.5677|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:35:02.5792|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:36:12.1323|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:36:12.1636|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:36:12.1849|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:38:29.1794|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:38:29.2082|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:38:29.2278|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:41:14.8201|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:41:14.8525|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:41:14.8668|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:43:18.1313|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:43:18.2128|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
2021-11-12 18:43:18.2220|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Alumno\Desktop\tp032021-sofiaberretta\Cadeteria\Cadeteria |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted| body: 
